Gene	1.ctrl	2.ctrl	3.dox	4.dox	5.acti	6.acti	7.fccp	8.fccp	9.mb	10.mb
QSOX2	7.340782529	7.302069897	7.416391893	7.568470624	7.561293551	7.343719288	7.389329897	7.500391087	6.736472587	6.941855389
QTRT1	5.009309014	5.054929744	5.392762762	5.572882209	5.822325068	5.554680249	5.531027107	5.812472509	4.645910243	4.867792059
QTRTD1	4.851114045	4.755599533	4.894573682	4.973187572	4.923247412	4.762929361	5.102527844	5.014543219	4.179124602	4.380157605
R3HCC1	4.698536242	5.024577309	4.587072518	4.667464487	4.879749712	5.162722244	4.741131458	4.931820869	5.425234934	4.903952273
R3HCC1L	3.73821952	3.333166658	3.584423906	3.504864123	3.494841538	3.461331362	3.585156669	3.693475134	3.63055614	3.603261015
R3HDM1	5.509445132	5.365304859	5.296636215	5.408445865	5.599126974	5.642126539	5.497691761	5.417349029	5.293202199	5.468542726
R3HDM2	2.814454324	2.909486954	3.158421219	3.220366002	3.238013767	3.230617542	2.959212799	3.174646149	2.774307201	2.745511449
R3HDM4	5.013935513	5.51537402	5.520285773	5.560119333	5.732260175	5.939463122	5.477884393	5.710177306	5.212983098	5.396763613
RAB10	6.633883615	6.489746771	6.448990327	6.437181956	6.62899378	6.704517584	6.501393822	6.434890135	6.104145083	6.145110243
RAB11A	6.384013646	6.065873718	6.067617392	6.167583216	6.028378641	6.13954896	6.300991805	6.238877669	6.250920261	6.222317922
RAB11B	5.773207479	5.949048966	6.101603097	6.018382718	5.801962607	5.924411036	5.783559853	5.948496532	6.046839644	6.287413334
RAB11B-AS1	0.726986109	1.416346241	0.780569205	1.111674188	0.842398667	1.162559197	0.841664257	0.867359858	1.029835588	1.512321155
RAB11FIP1	4.411156768	4.299071025	4.640892818	4.570934585	4.851206764	4.785318609	4.414878668	4.638381948	4.268176779	4.197011774
RAB11FIP1P1	1.601458421	1.800444596	1.532269174	1.133045069	1.916706245	1.797877676	1.82878377	1.770576687	1.879271545	1.688504307
RAB11FIP2	4.018546865	3.687861901	3.507870156	3.60385084	4.081737548	3.765294824	3.939800735	3.785785477	2.965110457	3.440459475
RAB11FIP3	5.194598369	5.511516766	5.412790488	5.345759221	5.294459621	5.07608393	5.192084466	5.540752208	4.775032119	5.164607617
RAB11FIP5	4.468459597	5.155576378	5.084119874	5.066388738	5.412712628	5.404879046	5.217902153	5.265317788	4.428824194	5.027102281
RAB12	3.715676938	3.423518331	3.825945766	3.64905544	4.090922005	3.791339709	4.23101838	4.158077769	3.49905434	3.603261015
RAB13	4.938069865	5.418455798	5.024627559	5.070548326	4.881515035	5.303815576	4.883434431	4.803631569	5.761364792	5.410654149
RAB14	7.177517007	6.915597959	7.139605405	6.973548107	6.858742818	7.030819218	6.950071825	6.880684484	7.049728519	6.908870404
RAB15	2.97491917	2.837362955	2.867330758	2.645374545	2.679652278	2.590947025	2.892379999	3.036534802	3.222546846	3.065863828
RAB17	1.16439326	0.89133996	1.448512959	1.08998197	1.05755627	0.614289187	1.039949062	1.209645525	1.49729823	2.322448125
RAB18	5.264858328	4.888438011	4.792962164	4.800298761	4.836720693	4.880248258	4.892012685	4.762031908	5.026295831	5.020529536
RAB1A	6.775025727	6.272200175	6.182249541	6.119543969	6.146871639	6.186568279	6.287238063	6.060306685	6.412135803	6.587274568
RAB1B	6.088205705	6.605849007	6.243173331	6.187509294	5.833311909	6.080421685	5.862064315	5.803036694	6.027220589	6.539801832
RAB1C	4.441238119	4.806857898	4.68730669	4.716068387	3.979949711	4.546247772	4.473209849	4.379499127	3.586551593	4.587810138
